idx,dataset,altitude_m,exposure_time,NSB_mpsas,filename
0,A1,70,0.16,14.17,img_589ecf5d.png
1,A1,70,0.16,14.15,img_471c10c5.png
2,A1,70,0.16,15.89,img_0530b658.png
3,A1,70,0.16,14.33,img_223c5857.png
5,A1,70,0.16,14.22,img_dfa21177.png
8,A1,70,0.16,14.83,img_4b01a9f5.png
9,A1,70,0.16,14.55,img_ba72baaf.png
10,A1,70,0.16,14.24,img_53fd0761.png
11,A1,70,0.16,13.92,img_eab03206.png
12,A1,70,0.16,14.09,img_935b88ef.png
14,A2,100,0.16,16.0,img_36168595.png
15,A2,100,0.16,15.13,img_841d4a20.png
18,A2,100,0.16,14.14,img_944e2c40.png
19,A2,100,0.16,14.41,img_9d881e3f.png
21,A2,100,0.16,14.69,img_b85976a4.png
23,A2,100,0.16,14.72,img_01cc9eb0.png
24,A2,100,0.16,14.66,img_b1cbbefe.png
27,A2,100,0.16,14.74,img_fb193f5a.png
28,A2,100,0.16,14.21,img_50febcbb.png
30,A2,100,0.16,14.65,img_b067e9f6.png
31,A2,100,0.16,16.12,img_408ac8d9.png
33,B1,70,0.16,15.63,img_77989d86.png
35,B1,70,0.16,14.28,img_e1039bd4.png
36,B1,70,0.16,14.42,img_53c17fc5.png
37,B1,70,0.16,14.51,img_aca5e62e.png
38,B1,70,0.16,14.65,img_872ff492.png
39,B1,70,0.16,14.83,img_647b0336.png
40,B1,70,0.16,15.49,img_89d90071.png
41,B1,70,0.16,15.82,img_53e1c746.png
44,B1,70,0.16,13.93,img_892645f9.png
49,B1,70,0.16,15.44,img_aed1557b.png
50,B1,70,0.16,14.43,img_c70cd629.png
52,B1,70,0.16,14.25,img_e34abb6c.png
53,B1,70,0.16,14.14,img_ca300d88.png
54,B1,70,0.16,14.88,img_c13c8fcd.png
55,B1,70,0.16,15.61,img_0229e212.png
56,B2,100,0.16,15.8,img_d4821a7e.png
57,B2,100,0.16,15.41,img_c323c1d4.png
58,B2,100,0.16,15.86,img_d7e468ff.png
59,B2,100,0.16,14.52,img_45ce712c.png
62,B2,100,0.16,14.45,img_980fc9e9.png
64,B2,100,0.16,14.82,img_8d82f2e6.png
65,B2,100,0.16,15.38,img_8eed64a1.png
67,B2,100,0.16,14.67,img_988ca0d9.png
68,B2,100,0.16,14.55,img_efe15112.png
69,B2,100,0.16,14.53,img_6979048a.png
70,B2,100,0.16,14.48,img_85f5fd8d.png
71,B2,100,0.16,14.75,img_889dd361.png
72,B2,100,0.16,14.75,img_658d2980.png
73,B2,100,0.16,14.69,img_b4bb571a.png
77,B2,100,0.16,14.44,img_3018da24.png
78,B2,100,0.16,14.84,img_bacc98d6.png
79,B2,100,0.16,16.35,img_d93ad583.png
80,B2,100,0.16,16.03,img_766ea5ff.png
81,C1,70,0.25,16.18,img_62fc080f.png
82,C1,70,0.25,14.59,img_6d573868.png
83,C1,70,0.25,14.46,img_cee764d6.png
84,C1,70,0.25,14.26,img_07aca33f.png
88,C1,70,0.25,14.58,img_4278768d.png
91,C1,70,0.25,15.68,img_5fdc0d78.png
92,C1,70,0.25,15.88,img_e67651eb.png
94,C1,70,0.25,14.11,img_067aadf1.png
95,C1,70,0.25,14.48,img_5a97c00d.png
97,C1,70,0.25,14.56,img_65baaa7e.png
98,C1,70,0.25,14.6,img_851397aa.png
99,C1,70,0.25,14.9,img_1a09700a.png
100,C1,70,0.25,14.69,img_6de7cac8.png
101,C1,70,0.25,14.52,img_9bff81ad.png
103,C1,70,0.25,14.17,img_403c62f6.png
104,C1,70,0.25,14.52,img_a6d5f334.png
105,C1,70,0.25,15.49,img_2c93c79c.png
106,C2,70,0.5,15.99,img_48e83bd2.png
107,C2,70,0.5,15.12,img_eb31d4df.png
108,C2,70,0.5,15.15,img_653597cd.png
111,C2,70,0.5,14.36,img_922a2ce0.png
112,C2,70,0.5,14.29,img_2c64ed3b.png
114,C2,70,0.5,14.73,img_2bf72ead.png
115,C2,70,0.5,14.98,img_1af12ba1.png
116,C2,70,0.5,14.69,img_08b92477.png
119,C2,70,0.5,14.91,img_13a270a5.png
122,C2,70,0.5,14.36,img_059e0f51.png
124,C2,70,0.5,14.8,img_f5b06efe.png
125,C2,70,0.5,14.72,img_7edf0d01.png
126,C2,70,0.5,14.63,img_d25ca666.png
127,C2,70,0.5,14.62,img_99ddcff7.png
128,C2,70,0.5,14.59,img_8a97d17b.png
129,C2,70,0.5,14.3,img_10e939c1.png
130,C2,70,0.5,14.23,img_5348cf55.png
133,C2,70,0.5,15.27,img_a3bfcbb4.png
